,سال,ماه,تراز ماهانه سطح آب زیرزمینی,مساحت شبکه تیسن,ضریب ذخیره,سال آبی,ماه آبی,تغییرات هر ماه نسبت به ماه قبل,تغییرات هر ماه نسبت به ماه سال قبل,تغییرات ذخیره آبخوان هر ماه نسبت به ماه قبل,تغییرات ذخیره آبخوان هر ماه نسبت به ماه سال قبل
0,1380,1,1043.01,2583.93,0.07,1379-80,7,,,,
1,1380,2,1042.64,2583.93,0.07,1379-80,8,-0.37,,-66.92,
2,1380,3,1042.54,2583.93,0.07,1379-80,9,-0.1,,-18.09,
3,1380,4,1042.39,2583.93,0.07,1379-80,10,-0.15,,-27.13,
4,1380,5,1042.19,2583.93,0.07,1379-80,11,-0.2,,-36.18,
5,1380,6,1041.99,2583.93,0.07,1379-80,12,-0.2,,-36.18,
6,1380,7,1041.99,2607.02,0.07,1380-81,1,0.0,,0.0,
7,1380,8,1041.92,2607.02,0.07,1380-81,2,-0.07,,-12.77,
8,1380,9,1041.9,2607.02,0.07,1380-81,3,-0.02,,-3.65,
9,1380,10,1041.96,2607.02,0.07,1380-81,4,0.06,,10.95,
10,1380,11,1041.99,2607.02,0.07,1380-81,5,0.03,,5.47,
11,1380,12,1041.98,2607.02,0.07,1380-81,6,-0.01,,-1.82,
12,1381,1,1041.92,2607.02,0.07,1380-81,7,-0.06,-1.09,-10.95,-198.92
13,1381,2,1041.76,2607.02,0.07,1380-81,8,-0.16,-0.88,-29.2,-160.59
14,1381,3,1041.59,2607.02,0.07,1380-81,9,-0.17,-0.95,-31.02,-173.37
15,1381,4,1041.46,2607.02,0.07,1380-81,10,-0.13,-0.93,-23.72,-169.72
16,1381,5,1041.33,2607.02,0.07,1380-81,11,-0.13,-0.86,-23.72,-156.94
17,1381,6,1041.14,2607.02,0.07,1380-81,12,-0.19,-0.85,-34.67,-155.12
18,1381,7,1041.03,2607.02,0.07,1381-82,1,-0.11,-0.96,-20.07,-175.19
19,1381,8,1040.88,2607.02,0.07,1381-82,2,-0.15,-1.04,-27.37,-189.79
20,1381,9,1040.79,2607.02,0.07,1381-82,3,-0.09,-1.11,-16.42,-202.57
21,1381,10,1040.78,2607.02,0.07,1381-82,4,-0.01,-1.18,-1.82,-215.34
22,1381,11,1040.86,2607.02,0.07,1381-82,5,0.08,-1.13,14.6,-206.22
23,1381,12,1040.92,2607.02,0.07,1381-82,6,0.06,-1.06,10.95,-193.44
24,1382,1,1040.88,2607.02,0.07,1381-82,7,-0.04,-1.04,-7.3,-189.79
25,1382,2,1040.82,2607.02,0.07,1381-82,8,-0.06,-0.94,-10.95,-171.54
26,1382,3,1040.69,2607.02,0.07,1381-82,9,-0.13,-0.9,-23.72,-164.24
27,1382,4,1040.55,2607.02,0.07,1381-82,10,-0.14,-0.91,-25.55,-166.07
28,1382,5,1040.41,2607.02,0.07,1381-82,11,-0.14,-0.92,-25.55,-167.89
29,1382,6,1040.27,2607.02,0.07,1381-82,12,-0.14,-0.87,-25.55,-158.77
30,1382,7,1040.13,2607.02,0.07,1382-83,1,-0.14,-0.9,-25.55,-164.24
31,1382,8,1040.03,2607.02,0.07,1382-83,2,-0.1,-0.85,-18.25,-155.12
32,1382,9,1039.94,2607.02,0.07,1382-83,3,-0.09,-0.85,-16.42,-155.12
33,1382,10,1039.98,2607.02,0.07,1382-83,4,0.04,-0.8,7.3,-145.99
34,1382,11,1040.0,2607.02,0.07,1382-83,5,0.02,-0.86,3.65,-156.94
35,1382,12,1040.0,2607.02,0.07,1382-83,6,0.0,-0.92,0.0,-167.89
36,1383,1,1039.95,2607.02,0.07,1382-83,7,-0.05,-0.93,-9.12,-169.72
37,1383,2,1039.85,2607.02,0.07,1382-83,8,-0.1,-0.97,-18.25,-177.02
38,1383,3,1039.71,2607.02,0.07,1382-83,9,-0.14,-0.98,-25.55,-178.84
39,1383,4,1039.57,2607.02,0.07,1382-83,10,-0.14,-0.98,-25.55,-178.84
40,1383,5,1039.43,2607.02,0.07,1382-83,11,-0.14,-0.98,-25.55,-178.84
41,1383,6,1039.29,2607.02,0.07,1382-83,12,-0.14,-0.98,-25.55,-178.84
42,1383,7,1039.2,2607.02,0.07,1383-84,1,-0.09,-0.93,-16.42,-169.72
43,1383,8,1039.11,2607.02,0.07,1383-84,2,-0.09,-0.92,-16.42,-167.89
44,1383,9,1039.06,2607.02,0.07,1383-84,3,-0.05,-0.88,-9.12,-160.59
45,1383,10,1039.06,2607.02,0.07,1383-84,4,0.0,-0.92,0.0,-167.89
46,1383,11,1039.13,2607.02,0.07,1383-84,5,0.07,-0.87,12.77,-158.77
47,1383,12,1039.15,2607.02,0.07,1383-84,6,0.02,-0.85,3.65,-155.12
48,1384,1,1038.93,2607.02,0.07,1383-84,7,-0.22,-1.02,-40.15,-186.14
49,1384,2,1038.76,2607.02,0.07,1383-84,8,-0.17,-1.09,-31.02,-198.92
50,1384,3,1038.59,2607.02,0.07,1383-84,9,-0.17,-1.12,-31.02,-204.39
51,1384,4,,,,1383-84,10,,,,
52,1384,5,,,,1383-84,11,,,,
53,1384,6,,,,1383-84,12,,,,
54,1384,7,1038.22,2607.02,0.07,1384-85,1,,-0.98,,-178.84
55,1384,8,1038.15,2607.02,0.07,1384-85,2,-0.07,-0.96,-12.77,-175.19
56,1384,9,1038.09,2607.02,0.07,1384-85,3,-0.06,-0.97,-10.95,-177.02
57,1384,10,1038.05,2607.02,0.07,1384-85,4,-0.04,-1.01,-7.3,-184.32
58,1384,11,1038.08,2607.02,0.07,1384-85,5,0.03,-1.05,5.47,-191.62
59,1384,12,1038.06,2607.02,0.07,1384-85,6,-0.02,-1.09,-3.65,-198.92
60,1385,1,1037.97,2607.02,0.07,1384-85,7,-0.09,-0.96,-16.42,-175.19
61,1385,2,1037.86,2607.02,0.07,1384-85,8,-0.11,-0.9,-20.07,-164.24
62,1385,3,1037.74,2607.02,0.07,1384-85,9,-0.12,-0.85,-21.9,-155.12
63,1385,4,1037.59,2607.02,0.07,1384-85,10,-0.15,,-27.37,
64,1385,5,1037.45,2607.02,0.07,1384-85,11,-0.14,,-25.55,
65,1385,6,1037.33,2607.02,0.07,1384-85,12,-0.12,,-21.9,
66,1385,7,1037.24,2607.02,0.07,1385-86,1,-0.09,-0.98,-16.42,-178.84
67,1385,8,1037.13,2607.02,0.07,1385-86,2,-0.11,-1.02,-20.07,-186.14
68,1385,9,1037.06,2607.02,0.07,1385-86,3,-0.07,-1.03,-12.77,-187.97
69,1385,10,1037.07,2607.02,0.07,1385-86,4,0.01,-0.98,1.82,-178.84
70,1385,11,1037.09,2607.02,0.07,1385-86,5,0.02,-0.99,3.65,-180.67
71,1385,12,1037.07,2607.02,0.07,1385-86,6,-0.02,-0.99,-3.65,-180.67
72,1386,1,1037.03,2607.02,0.07,1385-86,7,-0.04,-0.94,-7.3,-171.54
73,1386,2,1036.94,2607.02,0.07,1385-86,8,-0.09,-0.92,-16.42,-167.89
74,1386,3,1036.85,2607.02,0.07,1385-86,9,-0.09,-0.89,-16.42,-162.42
75,1386,4,1036.7,2607.02,0.07,1385-86,10,-0.15,-0.89,-27.37,-162.42
76,1386,5,1036.71,2607.02,0.07,1385-86,11,0.01,-0.74,1.82,-135.04
77,1386,6,1036.6,2607.02,0.07,1385-86,12,-0.11,-0.73,-20.07,-133.22
78,1386,7,1036.5,2607.02,0.07,1386-87,1,-0.1,-0.74,-18.25,-135.04
79,1386,8,1036.43,2607.02,0.07,1386-87,2,-0.07,-0.7,-12.77,-127.74
80,1386,9,1036.37,2607.02,0.07,1386-87,3,-0.06,-0.69,-10.95,-125.92
81,1386,10,1036.4,2607.02,0.07,1386-87,4,0.03,-0.67,5.47,-122.27
82,1386,11,1036.45,2607.02,0.07,1386-87,5,0.05,-0.64,9.12,-116.79
83,1386,12,1036.45,2607.02,0.07,1386-87,6,0.0,-0.62,0.0,-113.14
84,1387,1,1036.33,2607.02,0.07,1386-87,7,-0.12,-0.7,-21.9,-127.74
85,1387,2,1036.15,2607.02,0.07,1386-87,8,-0.18,-0.79,-32.85,-144.17
86,1387,3,1035.99,2607.02,0.07,1386-87,9,-0.16,-0.86,-29.2,-156.94
87,1387,4,1035.84,2607.02,0.07,1386-87,10,-0.15,-0.86,-27.37,-156.94
88,1387,5,1035.71,2607.02,0.07,1386-87,11,-0.13,-1.0,-23.72,-182.49
89,1387,6,1035.63,2607.02,0.07,1386-87,12,-0.08,-0.97,-14.6,-177.02
90,1387,7,1035.55,2607.02,0.07,1387-88,1,-0.08,-0.95,-14.6,-173.37
91,1387,8,1035.46,2607.02,0.07,1387-88,2,-0.09,-0.97,-16.42,-177.02
92,1387,9,1035.36,2607.02,0.07,1387-88,3,-0.1,-1.01,-18.25,-184.32
93,1387,10,1035.37,2607.02,0.07,1387-88,4,0.01,-1.03,1.82,-187.97
94,1387,11,1035.39,2607.02,0.07,1387-88,5,0.02,-1.06,3.65,-193.44
95,1387,12,1035.42,2607.02,0.07,1387-88,6,0.03,-1.03,5.47,-187.97
96,1388,1,1035.35,2607.02,0.07,1387-88,7,-0.07,-0.98,-12.77,-178.84
97,1388,2,1035.26,2607.02,0.07,1387-88,8,-0.09,-0.89,-16.42,-162.42
98,1388,3,1035.14,2607.02,0.07,1387-88,9,-0.12,-0.85,-21.9,-155.12
99,1388,4,1035.03,2607.02,0.07,1387-88,10,-0.11,-0.81,-20.07,-147.82
100,1388,5,1034.91,2607.02,0.07,1387-88,11,-0.12,-0.8,-21.9,-145.99
101,1388,6,1034.8,2607.02,0.07,1387-88,12,-0.11,-0.83,-20.07,-151.47
102,1388,7,1034.7,2607.02,0.07,1388-89,1,-0.1,-0.85,-18.25,-155.12
103,1388,8,1034.64,2607.02,0.07,1388-89,2,-0.06,-0.82,-10.95,-149.64
104,1388,9,1034.56,2607.02,0.07,1388-89,3,-0.08,-0.8,-14.6,-145.99
105,1388,10,1034.54,2607.02,0.07,1388-89,4,-0.02,-0.83,-3.65,-151.47
106,1388,11,1034.57,2607.02,0.07,1388-89,5,0.03,-0.82,5.47,-149.64
107,1388,12,1034.57,2607.02,0.07,1388-89,6,0.0,-0.85,0.0,-155.12
108,1389,1,1034.51,2607.02,0.07,1388-89,7,-0.06,-0.84,-10.95,-153.29
109,1389,2,1034.42,2607.02,0.07,1388-89,8,-0.09,-0.84,-16.42,-153.29
110,1389,3,1034.32,2607.02,0.07,1388-89,9,-0.1,-0.82,-18.25,-149.64
111,1389,4,1034.22,2607.02,0.07,1388-89,10,-0.1,-0.81,-18.25,-147.82
112,1389,5,1034.12,2607.02,0.07,1388-89,11,-0.1,-0.79,-18.25,-144.17
113,1389,6,1034.0,2607.02,0.07,1388-89,12,-0.12,-0.8,-21.9,-145.99
114,1389,7,1033.91,2607.02,0.07,1389-90,1,-0.09,-0.79,-16.42,-144.17
115,1389,8,1033.81,2607.02,0.07,1389-90,2,-0.1,-0.83,-18.25,-151.47
116,1389,9,1033.76,2607.02,0.07,1389-90,3,-0.05,-0.8,-9.12,-145.99
117,1389,10,1033.73,2607.02,0.07,1389-90,4,-0.03,-0.81,-5.47,-147.82
118,1389,11,1033.74,2607.02,0.07,1389-90,5,0.01,-0.83,1.82,-151.47
119,1389,12,1033.79,2607.02,0.07,1389-90,6,0.05,-0.78,9.12,-142.34
120,1390,1,1033.76,2607.02,0.07,1389-90,7,-0.03,-0.75,-5.47,-136.87
121,1390,2,1033.64,2607.02,0.07,1389-90,8,-0.12,-0.78,-21.9,-142.34
122,1390,3,1033.49,2607.02,0.07,1389-90,9,-0.15,-0.83,-27.37,-151.47
123,1390,4,1033.36,2607.02,0.07,1389-90,10,-0.13,-0.86,-23.72,-156.94
124,1390,5,1033.24,2607.02,0.07,1389-90,11,-0.12,-0.88,-21.9,-160.59
125,1390,6,1032.97,2607.02,0.07,1389-90,12,-0.27,-1.03,-49.27,-187.97
126,1390,7,1032.6,2607.02,0.07,1390-91,1,-0.37,-1.31,-67.52,-239.06
127,1390,8,1032.53,2607.02,0.07,1390-91,2,-0.07,-1.28,-12.77,-233.59
128,1390,9,1032.5,2607.02,0.07,1390-91,3,-0.03,-1.26,-5.47,-229.94
129,1390,10,1032.51,2607.02,0.07,1390-91,4,0.01,-1.22,1.82,-222.64
130,1390,11,1032.53,2607.02,0.07,1390-91,5,0.02,-1.21,3.65,-220.81
131,1390,12,1032.62,2607.02,0.07,1390-91,6,0.09,-1.17,16.42,-213.51
132,1391,1,1032.55,2607.02,0.07,1390-91,7,-0.07,-1.21,-12.77,-220.81
133,1391,2,1032.42,2607.02,0.07,1390-91,8,-0.13,-1.22,-23.72,-222.64
134,1391,3,1032.3,2607.02,0.07,1390-91,9,-0.12,-1.19,-21.9,-217.16
135,1391,4,1032.21,2607.02,0.07,1390-91,10,-0.09,-1.15,-16.42,-209.87
136,1391,5,1032.07,2607.02,0.07,1390-91,11,-0.14,-1.17,-25.55,-213.51
137,1391,6,1031.97,2607.02,0.07,1390-91,12,-0.1,-1.0,-18.25,-182.49
138,1391,7,1031.89,2607.02,0.07,1391-92,1,-0.08,-0.71,-14.6,-129.57
139,1391,8,1031.81,2607.02,0.07,1391-92,2,-0.08,-0.72,-14.6,-131.39
140,1391,9,1031.79,2607.02,0.07,1391-92,3,-0.02,-0.71,-3.65,-129.57
141,1391,10,1031.73,2607.02,0.07,1391-92,4,-0.06,-0.78,-10.95,-142.34
142,1391,11,1031.68,2607.02,0.07,1391-92,5,-0.05,-0.85,-9.12,-155.12
143,1391,12,1031.61,2607.02,0.07,1391-92,6,-0.07,-1.01,-12.77,-184.32
144,1392,1,1031.56,2607.02,0.07,1391-92,7,-0.05,-0.99,-9.12,-180.67
145,1392,2,1031.44,2607.02,0.07,1391-92,8,-0.12,-0.98,-21.9,-178.84
146,1392,3,1031.34,2607.02,0.07,1391-92,9,-0.1,-0.96,-18.25,-175.19
147,1392,4,1031.23,2607.02,0.07,1391-92,10,-0.11,-0.98,-20.07,-178.84
148,1392,5,1031.12,2607.02,0.07,1391-92,11,-0.11,-0.95,-20.07,-173.37
149,1392,6,1031.02,2607.02,0.07,1391-92,12,-0.1,-0.95,-18.25,-173.37
150,1392,7,1030.96,2607.02,0.07,1392-93,1,-0.06,-0.93,-10.95,-169.72
151,1392,8,1030.9,2607.02,0.07,1392-93,2,-0.06,-0.91,-10.95,-166.07
152,1392,9,1030.85,2607.02,0.07,1392-93,3,-0.05,-0.94,-9.12,-171.54
153,1392,10,1030.82,2607.02,0.07,1392-93,4,-0.03,-0.91,-5.47,-166.07
154,1392,11,1030.85,2607.02,0.07,1392-93,5,0.03,-0.83,5.47,-151.47
155,1392,12,1030.82,2607.02,0.07,1392-93,6,-0.03,-0.79,-5.47,-144.17
156,1393,1,1030.73,2607.02,0.07,1392-93,7,-0.09,-0.83,-16.42,-151.47
157,1393,2,1030.66,2607.02,0.07,1392-93,8,-0.07,-0.78,-12.77,-142.34
158,1393,3,1030.56,2607.02,0.07,1392-93,9,-0.1,-0.78,-18.25,-142.34
159,1393,4,1030.47,2607.02,0.07,1392-93,10,-0.09,-0.76,-16.42,-138.69
160,1393,5,1030.38,2607.02,0.07,1392-93,11,-0.09,-0.74,-16.42,-135.04
161,1393,6,1030.28,2607.02,0.07,1392-93,12,-0.1,-0.74,-18.25,-135.04
162,1393,7,1030.2,2607.02,0.07,1393-94,1,-0.08,-0.76,-14.6,-138.69
163,1393,8,1030.15,2607.02,0.07,1393-94,2,-0.05,-0.75,-9.12,-136.87
164,1393,9,1030.1,2607.02,0.07,1393-94,3,-0.05,-0.75,-9.12,-136.87
165,1393,10,1030.07,2607.02,0.07,1393-94,4,-0.03,-0.75,-5.47,-136.87
166,1393,11,1030.08,2607.02,0.07,1393-94,5,0.01,-0.77,1.82,-140.52
167,1393,12,1030.08,2607.02,0.07,1393-94,6,0.0,-0.74,0.0,-135.04
168,1394,1,1030.03,2607.02,0.07,1393-94,7,-0.05,-0.7,-9.12,-127.74
169,1394,2,1029.95,2607.02,0.07,1393-94,8,-0.08,-0.71,-14.6,-129.57
170,1394,3,1029.88,2607.02,0.07,1393-94,9,-0.07,-0.68,-12.77,-124.09
171,1394,4,1029.78,2607.02,0.07,1393-94,10,-0.1,-0.69,-18.25,-125.92
172,1394,5,1029.7,2607.02,0.07,1393-94,11,-0.08,-0.68,-14.6,-124.09
173,1394,6,1029.61,2607.02,0.07,1393-94,12,-0.09,-0.67,-16.42,-122.27
174,1394,7,1029.54,2607.02,0.07,1394-95,1,-0.07,-0.66,-12.77,-120.44
175,1394,8,1029.47,2607.02,0.07,1394-95,2,-0.07,-0.68,-12.77,-124.09
176,1394,9,1029.47,2607.02,0.07,1394-95,3,0.0,-0.63,0.0,-114.97
177,1394,10,1029.55,2607.02,0.07,1394-95,4,0.08,-0.52,14.6,-94.9
178,1394,11,1029.58,2607.02,0.07,1394-95,5,0.03,-0.5,5.47,-91.25
179,1394,12,1029.49,2607.02,0.07,1394-95,6,-0.09,-0.59,-16.42,-107.67
180,1395,1,1029.46,2607.02,0.07,1394-95,7,-0.03,-0.57,-5.47,-104.02
181,1395,2,1029.38,2607.02,0.07,1394-95,8,-0.08,-0.57,-14.6,-104.02
182,1395,3,1029.31,2607.02,0.07,1394-95,9,-0.07,-0.57,-12.77,-104.02
183,1395,4,1029.22,2607.02,0.07,1394-95,10,-0.09,-0.56,-16.42,-102.2
184,1395,5,1029.13,2607.02,0.07,1394-95,11,-0.09,-0.57,-16.42,-104.02
185,1395,6,1029.06,2607.02,0.07,1394-95,12,-0.07,-0.55,-12.77,-100.37
186,1395,7,1029.0,2607.02,0.07,1395-96,1,-0.06,-0.54,-10.95,-98.55
187,1395,8,1028.95,2607.02,0.07,1395-96,2,-0.05,-0.52,-9.12,-94.9
188,1395,9,1028.91,2607.02,0.07,1395-96,3,-0.04,-0.56,-7.3,-102.2
189,1395,10,1028.93,2607.02,0.07,1395-96,4,0.02,-0.62,3.65,-113.14
190,1395,11,1028.94,2607.02,0.07,1395-96,5,0.01,-0.64,1.82,-116.79
191,1395,12,1028.93,2607.02,0.07,1395-96,6,-0.01,-0.56,-1.82,-102.2
192,1396,1,1028.91,2607.02,0.07,1395-96,7,-0.02,-0.55,-3.65,-100.37
